Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1,31.9630551,-95.4861275,true,LTE-ENodeB-3,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S10,31.7945268,-95.6213943,true,LTE-ENodeB-1008,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S100,29.6904229,-95.1253924,true,LTE-ENodeB-1091,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1000,30.1621227,-94.0958446,true,LTE-ENodeB-21,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1001,30.0653941,-93.8449453,true,LTE-ENodeB-192,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1002,30.1760544,-93.9225626,true,LTE-ENodeB-1902,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1003,29.7318516,-95.4845020,true,LTE-ENodeB-1903,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1004,29.7298964,-95.5187049,true,LTE-ENodeB-1904,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1005,30.0956630,-93.9207820,true,LTE-ENodeB-1905,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1006,30.0398680,-94.0095541,true,LTE-ENodeB-1906,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1007,29.7358193,-95.5053708,true,LTE-ENodeB-1907,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1008,30.8886560,-102.8919062,true,LTE-ENodeB-1908,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1009,32.2857120,-94.2699424,true,LTE-ENodeB-1909,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S101,29.7110875,-95.1257215,true,LTE-ENodeB-111,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1010,32.1193120,-94.1234068,true,LTE-ENodeB-1910,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1011,32.3031447,-94.3822662,true,LTE-ENodeB-1911,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1012,30.8882145,-102.9077522,true,LTE-ENodeB-193,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1013,29.7368003,-95.5363564,true,LTE-ENodeB-1912,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1014,32.1709375,-94.5044776,true,LTE-ENodeB-1913,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1015,32.2047723,-94.3933844,true,LTE-ENodeB-1914,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1016,32.1647103,-94.4679697,true,LTE-ENodeB-1915,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1017,32.0814580,-94.3905614,true,LTE-ENodeB-1916,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1018,32.2000969,-94.2746198,true,LTE-ENodeB-1917,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1019,32.0817401,-94.4519503,true,LTE-ENodeB-1918,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S102,29.7106570,-95.1162438,true,LTE-ENodeB-1092,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1020,32.1024047,-94.5097263,true,LTE-ENodeB-1919,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1021,32.0750170,-94.3419029,true,LTE-ENodeB-1920,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1022,32.0197634,-94.3371795,true,LTE-ENodeB-1921,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1023,30.8950180,-102.9133207,true,LTE-ENodeB-194,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1024,30.9135865,-102.8245787,true,LTE-ENodeB-1922,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1025,34.6314186,-102.7317078,true,LTE-ENodeB-1923,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1026,35.1977880,-101.8155020,true,LTE-ENodeB-1924,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
